,id,date,state,sentiment
387,1256569506157064194,2020-05-02,BR,-1
388,1256570576929468416,2020-05-02,UP,-1
389,1256570737948864512,2020-05-02,TG,-1
390,1256572540018987009,2020-05-02,MH,-1
391,1256572833209225216,2020-05-02,MH,-1
392,1256573059366113282,2020-05-02,MH,-1
393,1256573323539955719,2020-05-02,MH,-1
394,1256573631217500160,2020-05-02,MH,-1
395,1256573655821307905,2020-05-02,GJ,-1
396,1256579317938581504,2020-05-02,DL,-1
397,1256580774192721922,2020-05-02,DL,-1
398,1256580825933426688,2020-05-02,GJ,-1
399,1256581817022525440,2020-05-02,PB,-1
400,1256582969013137408,2020-05-02,WB,-1
401,1256586769174274048,2020-05-02,MH,-1
402,1256587097638649857,2020-05-02,MH,-1
403,1256587265582731268,2020-05-02,RJ,-1
404,1256588172777140224,2020-05-02,DL,-1
405,1256589380417921025,2020-05-02,TG,-1
406,1256592800994344963,2020-05-02,MH,-1
407,1256593573086142465,2020-05-02,WB,-1
408,1256593929924993026,2020-05-02,DL,-1
409,1256595028601905153,2020-05-02,AS,-1
410,1256597878082060295,2020-05-02,GJ,-1
411,1256601065560199168,2020-05-02,TG,-1
412,1256605561904398336,2020-05-02,TN,-1
413,1256607371566039040,2020-05-02,GJ,-1
414,1256612134089359360,2020-05-02,GJ,-1
415,1256615367864090624,2020-05-02,MH,-1
416,1256619142318342144,2020-05-02,MH,1
417,1256619446917050369,2020-05-02,MH,-1
418,1256619779726639104,2020-05-02,HR,-1
419,1256620108560175116,2020-05-02,HR,-1
420,1256622615910731777,2020-05-02,ML,-1
421,1256624287039008769,2020-05-02,HP,-1
422,1256625540544462848,2020-05-02,MH,-1
423,1256629612148412419,2020-05-02,UP,-1
424,1256633918087888903,2020-05-02,TN,-1
425,1256637097999360001,2020-05-02,DL,-1
426,1256638139931799559,2020-05-02,GJ,-1
427,1256640360731860992,2020-05-02,GJ,-1
428,1256641222891827203,2020-05-02,KA,-1
429,1256646221843902464,2020-05-02,DL,-1
430,1256648039239991296,2020-05-02,KA,-1
431,1256651543828287488,2020-05-02,KA,-1
432,1256652158684082177,2020-05-02,KA,-1
433,1256652301311389696,2020-05-02,TG,-1
434,1256654397410598915,2020-05-02,DL,-1
435,1256657594841796608,2020-05-02,MH,-1
436,1256660540123906049,2020-05-02,OR,-1
437,1256666349444751360,2020-05-02,TN,-1
438,1256670314387439616,2020-05-02,MH,-1
439,1256670703396372485,2020-05-02,DL,-1
440,1256671556987752454,2020-05-02,AS,-1
441,1256672445362290688,2020-05-02,MN,-1
442,1256679432506540034,2020-05-02,WB,-1
443,1256709068733001730,2020-05-02,GA,-1
444,1256735924198801409,2020-05-03,KL,-1
445,1256737043264274438,2020-05-03,GJ,-1
446,1256740576243875840,2020-05-03,MH,-1
447,1256744834674630659,2020-05-03,KA,-1
448,1256768371946860544,2020-05-03,UP,-1
449,1256770846527348736,2020-05-03,MP,-1
450,1256775404808998912,2020-05-03,TN,-1
451,1256776333268602880,2020-05-03,HR,-1
452,1256779386088566784,2020-05-03,GJ,-1
453,1256788769128067073,2020-05-03,MH,-1
454,1256790910731456513,2020-05-03,DL,-1
455,1256791412877807618,2020-05-03,TN,-1
456,1256792119961882630,2020-05-03,RJ,-1
457,1256794551639048192,2020-05-03,UT,-1
458,1256795385047199745,2020-05-03,TG,-1
459,1256797909816926214,2020-05-03,DL,-1
460,1256798161684901889,2020-05-03,AS,-1
461,1256798287048425477,2020-05-03,AS,-1
462,1256798288164139009,2020-05-03,AS,-1
463,1256798323878449154,2020-05-03,MH,-1
464,1256800198229217282,2020-05-03,GJ,-1
465,1256801549164204033,2020-05-03,UP,-1
466,1256806365688987650,2020-05-03,MH,-1
467,1256807672474734592,2020-05-03,MH,-1
468,1256816496355008512,2020-05-03,GJ,-1
469,1256820286063812610,2020-05-03,OR,-1
470,1256821195082805252,2020-05-03,GJ,-1
